year,uclms,ez,d81,d82,d83,d84,d85,d86,d87,d88,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,luclms,guclms,cez,guclms_1,guclms_2,t,ezt,city
1980,166746,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.024227,,,,,1,0,1
1981,83561,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.333332,-0.6908951,0,,,2,0,1
1982,158146,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.971274,0.6379423,0,-0.6908951,,3,0,1
1983,83572,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.333464,-0.6378107,0,0.6379423,-0.6908951,4,0,1
1984,45949,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.735288,-0.598176,1,-0.6378107,0.6379423,5,5,1
1985,48848,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.796469,0.06118107,0,-0.598176,-0.6378107,6,6,1
1986,46570,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.748712,-0.04775715,0,0.06118107,-0.598176,7,7,1
1987,47205,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.762255,0.013543129,0,-0.04775715,0.06118107,8,8,1
1988,37953,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.544104,-0.21815109,0,0.013543129,-0.04775715,9,9,1
1980,115279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.65511,,,,,1,0,2
1981,78278,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.268022,-0.38708878,0,,,2,0,2
1982,126389,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74712,0.47909832,0,-0.38708878,,3,0,2
1983,79666,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.285598,-0.4615221,0,0.47909832,-0.38708878,4,0,2
1984,41376,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.630456,-0.65514183,0,-0.4615221,0.47909832,5,0,2
1985,53905,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.894979,0.26452255,0,-0.65514183,-0.4615221,6,0,2
1986,42037,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.646305,-0.24867344,0,0.26452255,-0.65514183,7,0,2
1987,44151,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.695371,0.04906559,0,-0.24867344,0.26452255,8,0,2
1988,27088,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.206846,-0.48852444,0,0.04906559,-0.24867344,9,0,2
1980,61046,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.019383,,,,,1,0,3
1981,60959,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.017957,-0.0014266968,0,,,2,0,3
1982,90064,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.408276,0.39031887,0,-0.0014266968,,3,0,3
1983,61609,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0285635,-0.3797121,0,0.39031887,-0.0014266968,4,0,3
1984,41869,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.642301,-0.3862629,0,-0.3797121,0.39031887,5,0,3
1985,49353,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.806754,0.1644535,0,-0.3862629,-0.3797121,6,0,3
1986,38632,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.561836,-0.24491787,0,0.1644535,-0.3862629,7,0,3
1987,37350,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.528089,-0.033747673,0,-0.24491787,0.1644535,8,0,3
1988,31182,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.347596,-0.1804924,0,-0.033747673,-0.24491787,9,0,3
1980,91152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.420283,,,,,1,0,4
1981,47337,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.765047,-0.65523624,0,,,2,0,4
1982,102228,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.534961,0.7699137,0,-0.65523624,,3,0,4
1983,59709,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.997238,-0.5377226,0,0.7699137,-0.65523624,4,0,4
1984,30062,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.311017,-0.6862211,0,-0.5377226,0.7699137,5,0,4
1985,41624,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.636433,0.3254156,0,-0.6862211,-0.5377226,6,0,4
1986,33688,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.424897,-0.21153545,0,0.3254156,-0.6862211,7,0,4
1987,23357,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.058652,-0.36624527,0,-0.21153545,0.3254156,8,0,4
1988,17190,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.752083,-0.3065691,0,-0.36624527,-0.21153545,9,0,4
1980,183095,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.117761,,,,,1,0,5
1981,100892,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.521806,-0.5959549,0,,,2,0,5
1982,121593,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.708435,0.1866293,0,-0.5959549,,3,0,5
1983,61597,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.028368,-0.68006706,0,0.1866293,-0.5959549,4,0,5
1984,63997,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.066591,0.038223267,0,-0.68006706,0.1866293,5,0,5
1985,82141,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.316193,0.24960136,1,0.038223267,-0.68006706,6,6,5
1986,54092,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.898441,-0.4177513,0,0.24960136,0.038223267,7,7,5
1987,37084,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.520941,-0.37750053,0,-0.4177513,0.24960136,8,8,5
1988,28978,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.274292,-0.24664879,0,-0.37750053,-0.4177513,9,9,5
1980,117090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.670698,,,,,1,0,6
1981,131495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.786724,0.116025925,0,,,2,0,6
1982,190727,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.158598,0.37187386,0,0.116025925,,3,0,6
1983,172074,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05568,-0.10291767,0,0.37187386,0.116025925,4,0,6
1984,113250,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.637353,-0.41832733,1,-0.10291767,0.37187386,5,5,6
1985,112460,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.630353,-0.0069999695,0,-0.41832733,-0.10291767,6,6,6
1986,95065,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4623165,-0.16803646,0,-0.0069999695,-0.41832733,7,7,6
1987,112507,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.630771,0.16845417,0,-0.16803646,-0.0069999695,8,8,6
1988,73704,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.207812,-0.42295837,0,0.16845417,-0.16803646,9,9,6
1980,172782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.059786,,,,,1,0,7
1981,161154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.990116,-0.06966972,0,,,2,0,7
1982,356613,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.784407,0.79429054,0,-0.06966972,,3,0,7
1983,255142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.449575,-0.33483124,0,0.79429054,-0.06966972,4,0,7
1984,125848,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74283,-0.70674515,1,-0.33483124,0.79429054,5,5,7
1985,124783,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.734331,-0.0084991455,0,-0.70674515,-0.33483124,6,6,7
1986,106736,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.578114,-0.15621758,0,-0.0084991455,-0.70674515,7,7,7
1987,95935,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.471426,-0.106687546,0,-0.15621758,-0.0084991455,8,8,7
1988,72338,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.189105,-0.28232098,0,-0.106687546,-0.15621758,9,9,7
1980,123567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.724539,,,,,1,0,8
1981,84035,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.338988,-0.3855505,0,,,2,0,8
1982,121736,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.70961,0.37062168,0,-0.3855505,,3,0,8
1983,85812,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.359914,-0.34969616,0,0.37062168,-0.3855505,4,0,8
1984,83180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.328762,-0.031151772,0,-0.34969616,0.37062168,5,0,8
1985,55967,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.932517,-0.396245,1,-0.031151772,-0.34969616,6,6,8
1986,68651,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.136791,0.20427418,0,-0.396245,-0.031151772,7,7,8
1987,33909,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.431436,-0.70535564,0,0.20427418,-0.396245,8,8,8
1988,19190,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.862144,-0.5692911,0,-0.70535564,0.20427418,9,9,8
1980,164996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.013677,,,,,1,0,9
1981,139598,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.846522,-0.16715431,0,,,2,0,9
1982,215534,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.280874,0.43435192,0,-0.16715431,,3,0,9
1983,148060,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.905373,-0.37550163,0,0.43435192,-0.16715431,4,0,9
1984,107105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.581565,-0.32380772,0,-0.37550163,0.43435192,5,0,9
1985,86550,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.368478,-0.21308708,1,-0.32380772,-0.37550163,6,6,9
1986,87191,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.375856,0.007378578,0,-0.21308708,-0.32380772,7,7,9
1987,50279,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.825343,-0.55051327,0,0.007378578,-0.21308708,8,8,9
1988,30843,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.336665,-0.48867798,0,-0.55051327,0.007378578,9,9,9
1980,533598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.187398,,,,,1,0,10
1981,435754,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.984833,-0.2025652,0,,,2,0,10
1982,667208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.410857,0.42602444,0,-0.2025652,,3,0,10
1983,545625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.209687,-0.20116997,0,0.42602444,-0.2025652,4,0,10
1984,340092,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.736972,-0.47271538,0,-0.20116997,0.42602444,5,0,10
1985,325797,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.69403,-0.042942047,0,-0.47271538,-0.20116997,6,0,10
1986,303724,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.623875,-0.070155144,0,-0.042942047,-0.47271538,7,0,10
1987,262512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.478052,-0.14582253,0,-0.070155144,-0.042942047,8,0,10
1988,209103,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.250583,-0.22746944,0,-0.14582253,-0.070155144,9,0,10
1980,169747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.042065,,,,,1,0,11
1981,95962,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.471707,-0.5703573,0,,,2,0,11
1982,157129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.964823,0.49311543,0,-0.5703573,,3,0,11
1983,67341,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.117524,-0.8472986,0,0.49311543,-0.5703573,4,0,11
1984,32549,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.390502,-0.7270222,0,-0.8472986,0.49311543,5,0,11
1985,36576,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.507148,0.11664581,0,-0.7270222,-0.8472986,6,0,11
1986,65114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.083895,0.57674694,0,0.11664581,-0.7270222,7,0,11
1987,45005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.714529,-0.3693657,0,0.57674694,0.11664581,8,0,11
