girl,minority,mathkind,mathgain,ses,yearstea,mathknow,housepov,mathprep,classid,schoolid,childid
1,1,448,32,0.46,1.0,,0.082,2.0,160,1,1
0,1,460,109,-0.27,1.0,,0.082,2.0,160,1,2
1,1,511,56,-0.03,1.0,,0.082,2.0,160,1,3
0,1,449,83,-0.38,2.0,-0.11,0.082,3.25,217,1,4
0,1,425,53,-0.03,2.0,-0.11,0.082,3.25,217,1,5
1,1,450,65,0.76,2.0,-0.11,0.082,3.25,217,1,6
0,1,452,51,-0.03,2.0,-0.11,0.082,3.25,217,1,7
0,1,443,66,0.2,2.0,-0.11,0.082,3.25,217,1,8
1,1,422,88,0.64,2.0,-0.11,0.082,3.25,217,1,9
0,1,480,-7,0.13,2.0,-0.11,0.082,3.25,217,1,10
0,1,502,60,0.83,2.0,-0.11,0.082,3.25,217,1,11
1,1,502,-2,0.06,1.0,-1.25,0.082,2.5,197,2,12
0,0,430,101,0.3,1.0,-1.25,0.082,2.5,197,2,13
0,0,526,30,-0.27,2.0,-0.72,0.082,2.33,211,2,14
0,0,504,65,0.74,2.0,-0.72,0.082,2.33,211,2,15
1,0,527,29,0.31,2.0,-0.72,0.082,2.33,211,2,16
1,0,462,152,1.1,2.0,-0.72,0.082,2.33,211,2,17
0,0,483,50,0.52,12.54,,0.082,2.3,307,2,18
1,1,516,60,-1.15,12.54,,0.082,2.3,307,2,19
0,1,476,74,0.0,12.54,,0.082,2.3,307,2,20
0,1,453,91,0.39,12.54,,0.082,2.3,307,2,21
0,0,494,68,-0.06,20.0,0.45,0.086,3.83,11,3,22
0,0,416,94,-0.26,20.0,0.45,0.086,3.83,11,3,23
0,0,456,120,0.64,20.0,0.45,0.086,3.83,11,3,24
1,0,445,58,-0.37,20.0,0.45,0.086,3.83,11,3,25
0,0,446,123,0.54,5.0,0.99,0.086,2.25,137,3,26
1,0,479,88,2.21,5.0,0.99,0.086,2.25,137,3,27
0,1,474,60,-0.43,19.0,1.61,0.086,3.0,145,3,28
0,0,453,152,0.41,19.0,1.61,0.086,3.0,145,3,29
0,0,494,96,0.06,19.0,1.61,0.086,3.0,145,3,30
1,0,529,57,-0.09,19.0,1.61,0.086,3.0,145,3,31
0,1,461,115,1.58,19.0,1.61,0.086,3.0,145,3,32
0,0,482,58,0.12,8.0,1.14,0.086,2.17,228,3,33
0,0,475,51,-0.35,8.0,1.14,0.086,2.17,228,3,34
0,0,464,104,0.9,8.0,1.14,0.086,2.17,228,3,35
1,1,496,65,-1.03,27.0,-1.05,0.365,2.0,48,4,36
1,1,443,64,-0.8,27.0,-1.05,0.365,2.0,48,4,37
0,1,455,59,1.04,27.0,-1.05,0.365,2.0,48,4,38
0,1,447,70,-0.3,27.0,-1.05,0.365,2.0,48,4,39
1,1,501,63,0.9,12.0,,0.365,2.0,179,4,40
0,1,434,-110,-0.37,12.0,,0.365,2.0,179,4,41
1,1,462,73,-0.03,3.0,0.22,0.511,3.75,299,5,42
0,1,444,100,-0.03,3.0,0.22,0.511,3.75,299,5,43
1,1,472,-9,-1.39,3.0,0.22,0.511,3.75,299,5,44
1,1,450,67,-1.25,3.0,0.22,0.511,3.75,299,5,45
0,1,463,58,-0.28,3.0,0.22,0.511,3.75,299,5,46
1,1,381,72,0.41,3.0,0.22,0.511,3.75,299,5,47
1,1,447,88,0.01,1.0,-0.86,0.044,1.75,254,6,48
0,0,504,115,-0.31,1.0,-0.86,0.044,1.75,254,6,49
0,1,483,62,-1.43,24.0,-0.73,0.044,4.0,286,6,50
1,0,459,42,-0.73,24.0,-0.73,0.044,4.0,286,6,51
0,0,472,88,1.31,24.0,-0.73,0.044,4.0,286,6,52
1,0,475,71,0.09,24.0,-0.73,0.044,4.0,286,6,53
0,1,468,74,0.35,24.0,-0.73,0.044,4.0,286,6,54
0,0,467,67,-0.02,24.0,-0.73,0.044,4.0,286,6,55
1,1,418,74,0.79,19.0,-0.98,0.044,2.5,291,6,56
1,1,415,87,-0.69,19.0,-0.98,0.044,2.5,291,6,57
0,1,444,83,-0.44,19.0,-0.98,0.044,2.5,291,6,58
0,1,433,93,0.29,19.0,-0.98,0.044,2.5,291,6,59
0,0,427,56,-1.3,13.0,1.53,0.148,2.33,89,7,60
1,0,428,40,-0.32,13.0,1.53,0.148,2.33,89,7,61
1,0,429,69,0.57,13.0,1.53,0.148,2.33,89,7,62
1,0,497,75,-0.03,7.0,,0.148,2.5,107,7,63
1,1,422,57,0.94,7.0,,0.148,2.5,107,7,64
1,1,487,23,-1.02,7.0,,0.148,2.5,107,7,65
0,1,435,53,-0.88,7.0,,0.148,2.5,107,7,66
1,0,411,114,-0.78,8.0,1.1,0.148,2.33,162,7,67
1,0,396,56,-0.98,8.0,1.1,0.148,2.33,162,7,68
0,0,462,55,1.41,13.0,-0.79,0.148,3.33,280,7,69
1,0,463,28,-0.35,13.0,-0.79,0.148,3.33,280,7,70
0,1,444,61,-1.15,13.0,-0.79,0.148,3.33,280,7,71
1,0,451,59,-0.46,13.0,-0.79,0.148,3.33,280,7,72
1,0,437,57,-0.21,13.0,-0.79,0.148,3.33,280,7,73
0,1,484,85,0.62,6.0,-0.14,0.085,2.0,147,8,74
0,1,488,28,0.18,6.0,-0.14,0.085,2.0,147,8,75
1,1,475,166,-0.14,6.0,-0.14,0.085,2.0,147,8,76
0,1,544,61,1.11,6.0,-0.14,0.085,2.0,147,8,77
1,1,467,47,-0.79,6.0,-0.14,0.085,2.0,147,8,78
1,1,509,62,0.86,6.0,-0.07,0.085,2.0,265,8,79
1,1,489,35,-0.11,6.0,-0.07,0.085,2.0,265,8,80
1,1,448,52,0.15,6.0,-0.07,0.085,2.0,265,8,81
0,1,516,70,0.28,6.0,-0.07,0.085,2.0,265,8,82
0,1,489,11,-1.37,22.0,0.28,0.085,1.5,279,8,83
0,1,519,37,1.34,22.0,0.28,0.085,1.5,279,8,84
0,0,517,36,-0.16,22.0,0.28,0.085,1.5,279,8,85
1,1,552,13,0.69,22.0,0.28,0.085,1.5,279,8,86
0,0,475,6,0.2,22.0,0.28,0.085,1.5,279,8,87
1,1,535,21,0.39,22.0,0.28,0.085,1.5,279,8,88
1,1,472,26,1.34,22.0,0.28,0.085,1.5,279,8,89
1,1,497,22,-0.11,23.0,-1.05,0.537,1.25,17,9,90
0,1,542,26,-0.03,23.0,-1.05,0.537,1.25,17,9,91
0,1,422,74,1.0,23.0,-1.05,0.537,1.25,17,9,92
1,1,482,41,-0.03,23.0,-0.42,0.537,1.17,58,9,93
0,1,459,13,0.0,24.0,-0.43,0.537,3.0,283,9,94
1,1,450,33,-1.45,24.0,-0.43,0.537,3.0,283,9,95
0,1,376,102,-0.3,15.0,-1.06,0.346,3.25,178,10,96
1,1,460,72,-0.38,15.0,-1.06,0.346,3.25,178,10,97
1,1,473,44,-0.82,21.0,-0.48,0.346,2.5,208,10,98
0,1,428,78,-0.97,21.0,-0.48,0.346,2.5,208,10,99
0,1,437,48,-0.94,21.0,-0.48,0.346,2.5,208,10,100
0,1,436,90,-1.27,21.0,-0.48,0.346,2.5,208,10,101
1,1,449,78,-1.09,1.0,,0.346,2.0,278,10,102
0,1,477,107,0.19,1.0,,0.346,2.0,278,10,103
1,1,477,67,-0.1,1.0,,0.346,2.0,278,10,104
1,1,410,75,-0.21,1.0,,0.346,2.0,278,10,105
0,1,439,69,0.15,1.0,,0.346,2.0,278,10,106
0,1,463,51,1.7,1.0,,0.346,2.0,278,10,107
1,1,456,70,-0.58,1.0,,0.346,2.0,278,10,108
0,1,433,103,-1.0,1.0,,0.346,2.0,278,10,109
0,1,433,90,-0.45,24.0,0.48,0.346,3.75,303,10,110
0,1,427,85,-0.37,24.0,0.48,0.346,3.75,303,10,111
1,1,444,55,-1.21,24.0,0.48,0.346,3.75,303,10,112
1,1,426,65,-1.45,24.0,0.48,0.346,3.75,303,10,113
1,0,526,44,0.83,6.0,0.12,0.101,4.0,86,11,114
0,1,494,66,1.42,6.0,0.12,0.101,4.0,86,11,115
0,0,494,58,2.15,6.0,0.12,0.101,4.0,86,11,116
1,0,479,90,0.56,6.0,0.12,0.101,4.0,86,11,117
1,0,538,35,-0.66,6.0,0.12,0.101,4.0,86,11,118
1,0,484,84,0.9,4.0,-0.42,0.101,2.5,113,11,119
0,0,576,8,-0.07,4.0,-0.42,0.101,2.5,113,11,120
1,0,485,58,0.4,4.0,-0.42,0.101,2.5,113,11,121
0,0,535,22,1.31,24.0,-0.13,0.101,2.25,131,11,122
1,0,467,77,-0.27,24.0,-0.13,0.101,2.25,131,11,123
0,0,505,25,-0.01,3.0,-0.52,0.101,2.24,172,11,124
1,0,480,22,0.27,3.0,-0.52,0.101,2.24,172,11,125
1,0,629,-35,0.07,3.0,-0.52,0.101,2.24,172,11,126
1,0,488,38,0.94,3.0,-0.52,0.101,2.24,172,11,127
1,1,509,28,0.63,3.0,0.31,0.101,2.5,195,11,128
1,0,493,77,0.41,3.0,0.31,0.101,2.5,195,11,129
0,0,470,69,-0.32,3.0,0.31,0.101,2.5,195,11,130
0,0,529,62,2.06,3.0,0.31,0.101,2.5,195,11,131
1,0,468,38,-0.02,1.0,-0.73,0.101,3.0,201,11,132
1,1,514,18,0.03,1.0,-0.73,0.101,3.0,201,11,133
1,0,465,67,0.21,1.0,-0.73,0.101,3.0,201,11,134
1,0,511,20,1.06,1.0,-0.73,0.101,3.0,201,11,135
0,1,461,42,-1.17,1.0,-0.73,0.101,3.0,201,11,136
0,0,496,54,0.71,27.0,-1.32,0.101,2.0,233,11,137
1,0,499,111,0.61,2.0,-0.72,0.101,2.0,285,11,138
1,0,454,68,-0.34,2.0,-0.72,0.101,2.0,285,11,139
1,0,527,38,0.1,2.0,-0.72,0.101,2.0,285,11,140
1,0,516,51,0.8,4.0,-1.02,0.101,2.5,293,11,141
0,1,434,94,-0.77,4.0,-1.02,0.101,2.5,293,11,142
1,0,499,39,1.32,4.0,-1.02,0.101,2.5,293,11,143
0,0,469,96,0.03,4.0,-1.02,0.101,2.5,293,11,144
0,1,424,36,-0.03,6.0,0.32,0.106,3.0,20,12,145
0,1,485,58,-0.03,6.0,0.32,0.106,3.0,20,12,146
1,1,463,53,0.59,6.0,0.32,0.106,3.0,20,12,147
0,1,427,63,0.45,5.0,-0.84,0.106,1.5,49,12,148
0,1,401,74,-0.22,5.0,-0.84,0.106,1.5,49,12,149
1,1,486,23,0.61,5.0,-0.84,0.106,1.5,49,12,150
1,1,522,12,-0.03,5.0,-0.84,0.106,1.5,49,12,151
0,1,450,53,-0.03,5.0,-0.84,0.106,1.5,49,12,152
0,1,408,104,-0.03,5.0,-0.84,0.106,1.5,49,12,153
0,1,493,27,1.12,2.0,1.21,0.106,2.0,81,12,154
1,1,417,46,-0.03,2.0,1.21,0.106,2.0,81,12,155
0,1,428,95,-0.03,2.0,1.21,0.106,2.0,81,12,156
1,1,453,50,-0.6,2.0,1.21,0.106,2.0,81,12,157
1,1,435,84,-0.03,2.0,1.21,0.106,2.0,81,12,158
1,1,450,40,-0.6,2.0,1.21,0.106,2.0,81,12,159
1,1,464,59,-0.03,2.0,1.21,0.106,2.0,81,12,160
1,1,433,91,-0.42,2.0,1.21,0.106,2.0,81,12,161
0,1,429,111,0.73,16.0,,0.106,3.06,251,12,162
1,1,497,41,0.88,16.0,,0.106,3.06,251,12,163
0,1,430,18,0.26,16.0,,0.106,3.06,251,12,164
1,1,535,28,0.07,25.0,-0.19,0.106,2.5,302,12,165
0,1,535,5,0.18,25.0,-0.19,0.106,2.5,302,12,166
1,1,508,67,1.64,25.0,-0.19,0.106,2.5,302,12,167
0,1,459,59,-0.03,25.0,-0.19,0.106,2.5,302,12,168
0,1,474,45,0.73,25.0,-0.19,0.106,2.5,302,12,169
0,1,491,47,-0.03,25.0,-0.19,0.106,2.5,302,12,170
1,1,491,26,1.32,25.0,-0.19,0.106,2.5,302,12,171
0,1,433,52,0.86,20.0,0.12,0.055,2.5,64,13,172
1,0,462,32,0.58,20.0,0.12,0.055,2.5,64,13,173
1,0,462,44,-0.76,20.0,0.12,0.055,2.5,64,13,174
1,0,506,41,-0.24,20.0,0.12,0.055,2.5,64,13,175
0,0,477,98,0.01,20.0,0.12,0.055,2.5,64,13,176
1,0,466,59,0.29,1.0,1.19,0.055,2.0,166,13,177
0,0,529,-11,0.08,1.0,1.19,0.055,2.0,166,13,178
1,0,499,35,-0.19,1.0,1.19,0.055,2.0,166,13,179
0,1,481,79,0.31,1.0,1.19,0.055,2.0,166,13,180
0,1,470,26,-0.37,17.0,0.86,0.157,5.25,41,14,181
0,1,519,-11,-0.14,17.0,0.86,0.157,5.25,41,14,182
1,1,441,23,0.05,17.0,0.86,0.157,5.25,41,14,183
0,1,436,88,0.29,17.0,0.86,0.157,5.25,41,14,184
1,1,431,52,-1.12,17.0,0.86,0.157,5.25,41,14,185
0,1,515,13,0.24,24.0,0.12,0.157,3.0,141,14,186
0,1,467,32,-0.42,24.0,0.12,0.157,3.0,141,14,187
1,1,455,19,-0.3,24.0,0.12,0.157,3.0,141,14,188
1,1,415,62,-0.2,24.0,0.12,0.157,3.0,141,14,189
0,1,477,69,0.09,24.0,0.12,0.157,3.0,141,14,190
0,1,490,71,0.01,22.0,-0.42,0.157,2.0,167,14,191
0,1,521,25,0.06,22.0,-0.42,0.157,2.0,167,14,192
0,1,437,90,0.03,22.0,-0.42,0.157,2.0,167,14,193
0,1,526,41,-0.39,22.0,-0.42,0.157,2.0,167,14,194
1,1,434,65,0.34,22.0,-0.42,0.157,2.0,167,14,195
0,1,342,182,-0.24,14.0,0.15,0.121,1.33,5,15,196
1,1,404,79,0.73,24.0,-0.7,0.121,6.0,85,15,197
1,1,457,36,0.07,24.0,-0.7,0.121,6.0,85,15,198
1,0,457,47,-0.37,24.0,-0.7,0.121,6.0,85,15,199
1,1,397,103,-0.35,24.0,-0.7,0.121,6.0,85,15,200
0,0,422,91,-0.29,24.0,-0.7,0.121,6.0,85,15,201
0,1,424,113,-0.91,24.0,-0.7,0.121,6.0,85,15,202
0,1,439,98,0.23,24.0,-0.7,0.121,6.0,85,15,203
1,1,449,94,-0.48,30.0,-0.34,0.121,2.25,92,15,204
0,1,506,39,0.97,12.0,0.35,0.121,2.5,119,15,205
0,1,533,33,-0.97,5.0,-1.21,0.121,1.0,260,15,206
1,1,446,38,-1.01,5.0,-1.21,0.121,1.0,260,15,207
0,1,521,22,-0.76,5.0,-1.21,0.121,1.0,260,15,208
0,1,412,118,1.46,12.0,0.89,0.113,2.3,206,16,209
1,1,474,83,0.68,12.0,0.89,0.113,2.3,206,16,210
1,1,447,78,0.05,12.0,0.89,0.113,2.3,206,16,211
0,1,441,74,-1.52,12.0,0.89,0.113,2.3,206,16,212
1,1,411,90,-0.02,12.0,0.89,0.113,2.3,206,16,213
1,1,390,108,-0.44,12.0,-0.48,0.113,4.0,256,16,214
0,1,429,51,-1.03,21.0,,0.261,2.83,7,17,215
1,1,381,143,-0.49,5.0,-1.26,0.261,3.25,10,17,216
0,1,419,69,-1.35,5.0,-1.26,0.261,3.25,10,17,217
0,1,441,54,-0.49,19.0,-0.42,0.261,2.5,87,17,218
0,1,379,129,-0.51,21.0,-2.31,0.261,3.33,177,17,219
1,1,434,65,1.04,21.0,-2.31,0.261,3.33,177,17,220
0,1,416,57,-0.72,21.0,-2.31,0.261,3.33,177,17,221
0,1,403,49,-0.69,8.0,-1.42,0.261,3.0,216,17,222
0,1,457,62,-0.93,8.0,-1.42,0.261,3.0,216,17,223
0,1,419,71,-0.61,23.0,1.13,0.272,2.25,31,18,224
1,0,409,75,0.57,23.0,1.13,0.272,2.25,31,18,225
0,0,290,164,-0.14,23.0,1.13,0.272,2.25,31,18,226
1,0,440,49,-0.03,23.0,1.13,0.272,2.25,31,18,227
0,1,431,80,-0.18,1.0,-0.41,0.058,2.25,98,19,228
0,1,437,37,-0.85,1.0,-0.41,0.058,2.25,98,19,229
0,1,477,45,-0.13,1.0,-0.41,0.058,2.25,98,19,230
0,1,416,56,1.56,1.0,-0.41,0.058,2.25,98,19,231
1,1,455,50,-0.16,1.0,-0.41,0.058,2.25,98,19,232
1,1,470,24,-0.36,30.0,-1.39,0.058,5.5,110,19,233
0,1,456,101,-0.15,30.0,-1.39,0.058,5.5,110,19,234
1,1,422,31,-0.61,30.0,-1.39,0.058,5.5,110,19,235
1,1,484,51,1.22,30.0,-1.39,0.058,5.5,110,19,236
1,1,463,57,0.29,2.0,-0.17,0.058,1.75,170,19,237
1,1,398,79,-0.66,2.0,-0.17,0.058,1.75,170,19,238
1,1,445,72,-0.8,19.0,-1.84,0.532,3.33,30,20,239
1,1,484,29,-0.58,19.0,-1.84,0.532,3.33,30,20,240
1,1,393,47,-0.51,19.0,-1.84,0.532,3.33,30,20,241
1,1,447,68,-1.01,19.0,-1.84,0.532,3.33,30,20,242
0,1,429,67,-0.47,5.0,-0.5,0.532,2.5,94,20,243
0,1,453,41,-0.64,5.0,-0.5,0.532,2.5,94,20,244
1,1,508,63,-0.24,5.0,-0.5,0.532,2.5,94,20,245
1,1,462,97,0.61,5.0,-0.5,0.532,2.5,94,20,246
0,1,435,67,-0.63,5.0,-0.5,0.532,2.5,94,20,247
0,1,485,43,-0.4,5.0,-0.5,0.532,2.5,94,20,248
0,1,484,68,-0.98,6.0,-0.84,0.532,2.25,101,20,249
1,1,417,79,-1.16,6.0,-0.84,0.532,2.25,101,20,250
0,1,431,36,-0.32,8.0,-0.12,0.187,3.75,6,21,251
0,1,454,23,-0.03,8.0,-0.12,0.187,3.75,6,21,252
0,0,452,34,0.28,8.0,-0.12,0.187,3.75,6,21,253
1,1,448,44,0.31,8.0,-0.12,0.187,3.75,6,21,254
1,0,405,60,0.33,8.0,-0.12,0.187,3.75,6,21,255
0,1,460,86,0.2,14.0,-0.17,0.187,3.17,130,21,256
0,1,435,24,-0.44,14.0,-0.17,0.187,3.17,130,21,257
0,1,461,73,0.68,14.0,-0.17,0.187,3.17,130,21,258
0,0,434,75,0.1,14.0,-0.17,0.187,3.17,130,21,259
0,1,494,46,0.25,12.0,-0.13,0.187,4.5,158,21,260
0,1,443,87,0.51,12.0,-0.13,0.187,4.5,158,21,261
0,1,524,49,0.08,12.0,-0.13,0.187,4.5,158,21,262
0,1,437,67,0.53,12.0,-0.13,0.187,4.5,158,21,263
0,1,392,91,-0.8,12.0,-0.13,0.187,4.5,158,21,264
0,1,457,28,-0.16,12.0,-0.13,0.187,4.5,158,21,265
1,0,431,102,-1.1,12.0,-0.13,0.187,4.5,158,21,266
1,1,494,39,0.37,12.0,-0.13,0.187,4.5,158,21,267
0,1,433,46,-1.44,0.0,-0.72,0.438,2.0,159,22,268
1,1,449,48,0.47,0.0,-0.72,0.438,2.0,159,22,269
1,1,447,39,0.31,0.0,-0.72,0.438,2.0,159,22,270
1,1,462,25,-0.3,0.0,-0.72,0.438,2.0,159,22,271
0,1,459,82,-0.89,14.0,-0.76,0.282,2.25,43,23,272
1,1,495,34,0.59,14.0,-0.76,0.282,2.25,43,23,273
0,1,483,43,-0.78,14.0,-0.76,0.282,2.25,43,23,274
1,1,462,117,-0.81,3.0,0.12,0.282,2.0,47,23,275
0,1,447,74,-0.75,21.0,0.55,0.282,2.25,163,23,276
1,1,497,30,-0.33,27.0,-1.02,0.263,2.25,55,24,277
1,1,494,-2,0.19,27.0,-1.02,0.263,2.25,55,24,278
1,1,427,65,0.68,27.0,-1.02,0.263,2.25,55,24,279
1,1,447,30,-0.17,27.0,-1.02,0.263,2.25,55,24,280
1,1,477,0,-0.87,27.0,-1.02,0.263,2.25,55,24,281
0,1,539,-16,1.57,31.0,-1.68,0.263,3.0,77,24,282
1,1,431,106,-0.34,5.0,0.72,0.263,2.25,93,24,283
1,1,496,88,0.21,9.0,-0.79,0.263,2.5,150,24,284
1,1,443,38,-0.03,15.0,-0.77,0.309,2.17,97,25,285
1,1,469,27,0.03,15.0,-0.77,0.309,2.17,97,25,286
1,1,374,59,-0.4,6.0,0.93,0.309,2.0,297,25,287
1,1,513,-6,-0.76,6.0,0.93,0.309,2.0,297,25,288
1,1,450,34,-0.03,6.0,0.93,0.309,2.0,297,25,289
0,1,447,7,0.53,6.0,0.93,0.309,2.0,297,25,290
0,1,450,39,-0.64,6.0,0.93,0.309,2.0,297,25,291
0,1,439,97,0.67,4.0,0.61,0.564,2.25,78,26,292
0,1,480,56,-0.03,4.0,0.61,0.564,2.25,78,26,293
1,1,497,56,-1.37,4.0,0.61,0.564,2.25,78,26,294
1,1,482,43,-0.25,4.0,0.61,0.564,2.25,78,26,295
0,1,409,71,0.35,4.0,0.61,0.564,2.25,78,26,296
1,1,466,42,-0.53,4.0,0.61,0.564,2.25,78,26,297
0,1,439,88,-0.32,4.0,0.61,0.564,2.25,78,26,298
