id,level,famnum,group,age,sex,tlm,tlpl,tlcpl,tlsub,tlcsub,occ,dtlm
19,-1,1,3,27,1,1.0986123,0.25190514,0.2700271,1.4793292,1.6695918,3,1
19,0,1,3,27,1,1.9459101,0.57089746,0.35065684,3.407842,1.9242487,4,0
19,1,1,3,27,1,1.7491999,0.69253385,0.52472854,2.562639,1.9213246,5,0
20,-1,1,3,34,2,1.178655,0.564096,0.49469623,1.5325569,1.2237755,3,0
20,0,1,3,34,2,1.3862944,0.19222312,0.36464316,1.8640801,1.521699,4,1
20,1,1,3,34,2,2.1102133,0.4081797,0.10436003,2.8225687,1.5560371,5,0
21,-1,1,3,25,2,1.0986123,0.42552567,0.6205765,1.10194,1.5496879,3,1
21,0,1,3,25,2,1.5581446,0.70906377,0.24686006,2.1938858,1.5686159,4,0
21,1,1,3,25,2,1.658228,0.6842981,-0.15082288,2.686486,1.7917595,5,0
70,-1,1,2,69,1,1.178655,0.3946567,0.5364934,1.5040774,1.166271,3,0
70,0,1,2,69,1,1.658228,0.40072325,0.8586616,2.5967462,1.4951488,4,0
70,1,1,2,69,1,1.8718022,0.7721764,0.3435897,2.8449094,1.5368673,5,0
71,-1,1,2,55,2,1.2527629,0.7892113,0.7793249,2.5185025,1.8515995,3,0
71,0,1,2,55,2,1.5040774,0.7580762,0.8109302,2.4501426,1.798404,4,0
71,1,1,2,55,2,1.8718022,0.6836025,0.37156358,2.7650604,2.0347056,5,0
72,-1,1,2,30,1,1.0986123,0.71418345,-0.22314353,1.427916,0.99694866,3,1
72,0,1,2,30,1,1.3862944,0.7398213,-0.15082288,1.5303947,1.3737156,4,1
72,1,1,2,30,1,1.9095426,0.9287381,0.17395335,2.4300983,1.52388,5,0
73,-1,1,2,65,1,1.0986123,0.9003415,0.4054651,0.98954123,1.2919837,3,1
73,0,1,2,65,1,1.446919,1.2459699,0.26236424,2.799109,1.9501867,4,0
73,1,1,2,65,1,1.7491999,1.0355325,0.42526773,2.8707356,1.9329696,5,0
74,-1,1,2,62,2,1.0986123,0.5439315,0.7793249,2.1294215,1.6174061,3,1
74,0,1,2,62,2,1.8325815,0.9327946,0.57661337,3.163363,1.9050881,4,0
74,1,1,2,62,2,2.014903,1.0020733,0.35065684,3.327192,1.8794651,5,0
75,-1,1,2,32,1,1.178655,0.78106725,0.737164,1.166271,1.0784096,3,0
75,0,1,2,32,1,1.3862944,0.64841187,0.37156358,1.2527629,1.3686395,4,1
75,1,1,2,32,1,1.7491999,0.85459507,0.8064759,1.9892433,1.7526721,5,0
15,-1,2,3,38,2,1.2527629,1.0108413,0.88376755,2.675527,1.7351891,3,0
15,0,2,3,38,2,2.014903,0.79221135,0.7654679,3.9108222,1.6752257,4,0
15,1,2,3,38,2,1.7491999,0.9986795,0.8628899,3.4797006,1.9183921,5,0
16,-1,2,3,40,2,1.178655,0.38224253,0.36464316,1.9671124,1.2837077,3,0
16,0,2,3,40,2,1.9810015,0.65755683,0.47000363,3.163363,1.5173227,4,0
16,1,2,3,40,2,1.9459101,0.5045991,0.19885089,3.269569,1.9906104,5,0
61,-1,2,2,70,2,1.2527629,1.2819316,1.4861397,4.210348,2.1905355,3,0
61,0,2,2,70,2,1.7917595,1.181968,1.5539252,5.090678,2.7226105,4,0
61,1,2,2,70,2,2.1102133,1.217868,1.6544113,5.078917,3.1591258,5,0
62,-1,2,2,43,2,1.0986123,0.7038633,0.9932518,1.5706971,1.6544113,3,1
62,0,2,2,43,2,2.3513753,0.7774367,0.6097656,4.0358324,1.8976198,4,0
62,1,2,2,43,2,1.9095426,0.8943801,2.2082744,2.700018,2.3125355,5,0
63,-1,2,2,33,2,1.2527629,0.32301193,0.48242617,1.5260563,1.52388,3,0
63,0,2,2,33,2,1.8325815,0.45547026,0.5423243,2.6390574,1.7698547,4,0
63,1,2,2,33,2,2.1400661,0.4976219,0.46373403,2.6404848,1.9892433,5,0
64,-1,2,2,45,1,1.0986123,0.5905632,1.3787661,1.7934248,1.8115621,3,1
64,0,2,2,45,1,1.446919,0.7490785,0.9321641,2.3580198,2.0386195,4,0
64,1,2,2,45,1,2.014903,0.50917995,1.3660917,3.8338454,2.3813963,5,0
65,-1,2,2,24,2,1.0986123,-0.045508593,0.15700372,1.0647107,1.166271,3,1
65,0,2,2,24,2,1.8718022,-0.38855854,0.19885089,2.4466856,1.6486586,4,0
65,1,2,2,24,2,1.704748,0.3119539,0.1655144,2.0281482,1.6014057,5,0
17,-1,3,3,47,2,1.0986123,0.7064738,0.9932518,2.138889,2.1114247,3,1
17,0,3,3,47,2,1.9459101,0.9616215,1.3887913,3.5898874,2.4956818,4,0
17,1,3,3,47,2,2.1102133,0.75529146,0.93609333,3.5522003,2.7173402,5,0
18,-1,3,3,28,1,2.014903,0.8637803,1.3787661,3.7921126,1.9615023,3,0
18,0,3,3,28,1,1.9095426,0.716083,0.90825856,3.06152,2.6383429,4,0
18,1,3,3,28,1,2.6912432,0.592381,1.3083328,4.134046,2.698673,5,0
66,-1,3,2,25,2,1.2527629,0.19710813,0.57661337,2.0412202,1.5195132,3,0
66,0,3,2,25,2,1.658228,0.3119539,0.47000363,3.1629403,1.8885837,4,0
66,1,3,2,25,2,2.2512918,0.64138955,-0.051293306,3.644405,2.0856721,5,0
68,-1,3,2,23,2,1.0986123,-0.021912185,0.49469623,1.6014057,1.2149127,3,1
68,0,3,2,23,2,1.7491999,0.45019364,0.37156358,3.3235962,1.5623463,4,0
68,1,3,2,23,2,1.7917595,0.499962,0.2776318,2.897568,1.8809906,5,0
23,-1,4,3,50,2,1.0986123,0.63260806,0.47000363,2.09433,1.798404,3,1
23,0,4,3,50,2,1.8325815,0.8992984,0.7178398,3.5504792,2.241773,4,0
23,1,4,3,50,2,1.609438,1.2218622,0.6151857,2.2060742,2.1258478,5,1
24,-1,4,3,40,2,1.2527629,0.6211003,0.51879376,2.231089,1.5623463,3,0
24,0,4,3,40,2,2.1102133,0.32663426,0.65752,3.128951,1.521699,4,0
24,1,4,3,40,2,1.9459101,0.35789204,0.5068176,2.7948394,1.6639261,5,0
25,-1,4,3,37,1,1.0986123,0.4407841,0.59883654,1.8855534,1.6919391,3,1
25,0,4,3,37,1,1.658228,0.39312568,0.23111172,2.8820035,1.9006139,4,0
25,1,4,3,37,1,1.9459101,0.50917995,0.13102825,3.0629234,2.1198635,5,0
80,-1,4,2,33,1,1.178655,0.14025927,0.21511139,1.8453002,1.1908876,3,0
80,0,4,2,33,1,1.3862944,0.38538203,0.08617773,1.6134299,1.4861397,4,1
80,1,4,2,33,1,2.1102133,0.324827,-0.13926207,3.1170645,1.7715567,5,0
81,-1,4,2,30,2,1.0986123,0.6168967,0.285179,1.6974488,1.4398351,3,1
81,0,4,2,30,2,1.7917595,0.9191496,0.5822156,2.8027542,1.704748,4,0
81,1,4,2,30,2,1.609438,0.86534923,0.122217625,1.8261609,2.1377103,5,1
82,-1,4,2,25,1,1.0986123,0.73389775,1.1442229,1.3609766,1.4701759,3,1
82,0,4,2,25,1,1.5581446,1.0744984,0.47000363,2.472328,1.798404,4,0
82,1,4,2,25,1,1.609438,0.81935173,0.32930374,1.8277699,1.8484548,5,1
6,-1,5,3,42,1,1.178655,0.49526712,1.8976198,2.2148461,2.0515563,3,0
6,0,5,3,42,1,2.2246234,0.6985799,1.9227878,3.9276996,2.3655598,4,0
6,1,5,3,42,1,2.014903,1.1147478,1.0260416,3.4694788,2.4672518,5,0
29,-1,5,3,50,2,1.0986123,0.7490785,1.512927,2.1690538,1.7698547,3,1
29,0,5,3,50,2,2.2772672,0.907878,1.5993875,3.8225358,1.9373018,4,0
29,1,5,3,50,2,2.1102133,0.8915319,1.0006319,3.7240052,2.0756845,5,0
39,-1,5,2,41,2,1.0986123,0.32118893,0.6981347,2.1494339,1.8640801,3,1
39,0,5,2,41,2,1.7491999,0.35789204,0.7178398,3.3123662,2.2710943,4,0
39,1,5,2,41,2,1.9810015,0.7569652,0.8064759,3.5712214,2.222459,5,0
86,-1,5,2,56,2,1.0986123,0.6109256,1.329724,2.503074,2.118662,3,1
86,0,5,2,56,2,1.3862944,0.9823385,1.22083,2.1587148,1.9657128,4,1
86,1,5,2,56,2,1.9095426,0.85337585,1.1631508,3.8865001,2.3174736,5,0
87,-1,5,2,18,2,1.0986123,0.2646023,0.7323679,1.4655675,1.3812819,3,1
87,0,5,2,18,2,1.8718022,0.10603207,0.9122827,2.636912,1.658228,4,0
87,1,5,2,18,2,1.9095426,-0.10068464,1.0079579,2.6953027,2.0202222,5,0
88,-1,5,2,22,1,1.7491999,0.6022159,0.99694866,2.686486,1.6544113,3,0
88,0,5,2,22,1,1.9459101,0.5737736,0.7030975,2.8587666,1.8718022,4,0
88,1,5,2,22,1,2.014903,0.5728174,1.054312,2.773838,2.1400661,5,0
7,-1,6,3,53,1,1.0986123,0.7266438,0.8586616,1.5727739,1.3762441,3,1
7,0,6,3,53,1,2.1972246,0.35114673,0.5596158,3.3156395,1.6034198,4,0
7,1,6,3,53,1,1.8325815,0.40965447,0.29266962,2.4440846,1.8702625,5,0
41,-1,6,2,49,2,1.2527629,0.6679251,0.9321641,1.9712994,1.4134231,3,0
41,0,6,2,49,2,1.704748,0.72968596,0.4317824,2.3311725,1.4134231,4,0
41,1,6,2,49,2,1.7917595,0.93831664,0.30010462,2.5486636,1.5789787,5,0
42,-1,6,2,21,1,1.609438,-0.38111866,-0.051293306,1.7474592,0.9555114,3,0
42,0,6,2,21,1,1.609438,0.16175598,-0.1863296,1.8748744,1.178655,4,0
42,1,6,2,21,1,1.8718022,-0.88646585,-0.1625189,1.9865035,1.3402504,5,0
43,-1,6,2,75,2,1.3862944,0.7507848,1.446919,3.6189933,2.11505,3,0
43,0,6,2,75,2,1.9095426,0.77586764,0.97832614,3.7602694,2.1894164,4,0
43,1,6,2,75,2,1.9810015,0.93186367,0.98954123,4.176846,2.4466856,5,0
44,-1,6,2,51,2,1.0986123,0.4580819,0.7275486,1.286474,1.2919837,3,1
44,0,6,2,51,2,1.446919,0.66055155,0.4054651,2.3551776,1.4609379,4,0
44,1,6,2,51,2,1.9810015,0.5747272,0.2776318,3.2331731,1.61542,5,0
14,-1,8,3,33,1,1.5040774,0.54185253,1.0152307,2.138889,1.5973654,3,0
14,0,8,3,33,1,1.5040774,0.8684622,0.4762342,2.7587433,1.7404661,4,0
14,1,8,3,33,1,1.9095426,0.6168967,1.4816046,3.1389663,2.3960755,5,0
57,-1,8,2,59,1,1.0986123,0.856213,0.49469623,2.1736147,1.6544113,3,1
57,0,8,2,59,1,1.3862944,0.9112393,1.1085626,2.5517862,2.0967903,4,1
57,1,8,2,59,1,1.658228,0.7882047,1.2325603,2.9595869,2.4256873,5,0
58,-1,8,2,65,2,1.2527629,1.0867952,1.1568812,3.1966302,1.8916048,3,0
58,0,8,2,65,2,1.658228,0.94904536,1.6544113,4.0607877,2.383243,4,0
58,1,8,2,65,2,1.8718022,0.8459542,1.9213246,3.3624566,2.6623552,5,0
59,-1,8,2,52,1,1.0986123,1.0188782,0.98581684,2.095561,1.6882491,3,1
59,0,8,2,52,1,1.7917595,0.8455364,0.7975072,3.4167426,1.9516082,4,0
59,1,8,2,52,1,1.609438,1.1640087,0.8020016,2.304583,1.978239,5,1
60,-1,8,2,50,2,1.178655,1.1304126,1.0851892,3.014554,1.8946168,3,0
60,0,8,2,50,2,1.5040774,1.0543709,0.9202827,3.0209126,1.9906104,4,0
60,1,8,2,50,2,1.658228,1.1176851,1.2354715,2.7555697,2.4248028,5,0
13,-1,9,3,55,2,1.0986123,0.73628014,1.0402766,2.1016922,2.113843,3,1
13,0,9,3,55,2,1.8325815,0.7116335,0.89608806,3.1817968,2.1961129,4,0
13,1,9,3,55,2,2.3272777,0.79958767,0.9555114,4.0681715,2.3887627,5,0
53,-1,9,2,56,1,1.178655,0.44484457,0.6151857,1.1442229,1.3737156,3,0
53,0,9,2,56,1,1.658228,0.86652035,0.59883654,2.5726123,1.2612978,4,0
53,1,9,2,56,1,1.7491999,0.7641182,0.48242617,2.2396452,1.6601311,5,0
54,-1,9,2,44,2,1.2527629,0.8703913,0.4762342,3.408504,1.4350845,3,0
54,0,9,2,44,2,1.8718022,0.4832693,0.41871032,3.2140641,1.4632554,4,0
54,1,9,2,44,2,1.8718022,0.41549945,0.0676587,3.2096334,1.6900958,5,0
55,-1,9,2,42,1,1.0986123,0.58873606,1.0367368,1.609438,1.6937791,3,1
55,0,9,2,42,1,1.3862944,0.4783623,0.37156358,1.8033587,1.6505798,4,1
55,1,9,2,42,1,1.609438,0.47959498,0.30748472,2.383243,1.9110229,5,1
56,-1,9,2,38,2,1.0986123,0.5785167,0.009950321,1.329724,1.1939224,3,1
56,0,9,2,38,2,1.5581446,0.9145619,0.13976192,2.0095553,1.3737156,4,0
56,1,9,2,38,2,1.704748,0.4928977,-0.105360545,2.3561258,1.5686159,5,0
9,-1,10,3,29,1,1.178655,0.05945361,0.3435897,1.1442229,1.2149127,3,0
9,0,10,3,29,1,1.8325815,0.6877543,0.285179,2.4150205,1.5973654,4,0
9,1,10,3,29,1,2.014903,0.93952924,0.24686006,2.9922261,1.6601311,5,0
10,-1,10,3,27,1,1.0986123,0.18976073,-0.020202687,0.84586823,1.0260416,3,1
10,0,10,3,27,1,1.9459101,-0.21508129,-0.15082288,2.222459,1.2781522,4,0
10,1,10,3,27,1,1.9095426,-0.12825754,-0.030459179,2.0515563,1.4951488,5,0
49,-1,10,2,56,2,1.2527629,0.5803966,0.49469623,1.7934248,1.4350845,3,0
49,0,10,2,56,2,1.8718022,0.44484457,0.4317824,3.1488824,1.7173951,4,0
49,1,10,2,56,2,1.9810015,0.53448236,0.30010462,2.853016,1.7884206,5,0
50,-1,10,2,26,2,1.0986123,0.4940843,0.3987761,1.0919234,1.2237755,3,1
50,0,10,2,26,2,2.0476928,0.7032075,0.3220835,3.3864222,1.3862944,4,0
50,1,10,2,26,2,1.7917595,0.7657463,0.0,2.7479117,1.6695918,5,0
11,-1,11,3,37,1,1.0986123,1.031251,1.5644406,2.099244,1.4609379,3,1
11,0,11,3,37,1,1.5040774,1.0175176,0.8796268,2.786245,1.7526721,4,0
11,1,11,3,37,1,1.9810015,0.9481669,0.9820785,3.5499048,2.0001278,5,0
12,-1,11,3,33,1,1.178655,0.89473426,1.2412686,2.2512918,2.4997952,3,0
12,0,11,3,33,1,1.8325815,0.6649949,1.4609379,3.4632328,2.4168062,4,0
12,1,11,3,33,1,1.9095426,0.715451,1.2029723,3.6581626,2.692598,5,0
51,-1,11,2,60,2,1.3217559,0.8063175,1.0818052,2.9997244,1.5602477,3,0
51,0,11,2,60,2,1.658228,0.88501936,1.18479,4.681205,1.7065647,4,0
51,1,11,2,60,2,2.2246234,0.85822314,0.5538851,3.849296,1.7029282,5,0
22,-1,12,3,33,2,1.0986123,1.1874328,1.9906104,2.727199,1.8531681,3,1
22,0,12,3,33,2,1.5040774,1.2740073,1.1908876,3.189241,1.9154509,4,0
22,1,12,3,33,2,1.9459101,0.9644019,2.329227,3.6470153,2.1435893,5,0
76,-1,12,2,62,1,1.0986123,0.8492754,1.2837077,1.5496879,1.7011051,3,1
76,0,12,2,62,1,2.1400661,0.6468637,1.2237755,3.404193,1.9974177,4,0
76,1,12,2,62,1,1.7491999,0.9455146,0.90825856,2.6574585,2.014903,5,0
77,-1,12,2,62,2,1.2527629,1.078664,1.3558352,2.4105422,1.7369512,3,0
77,0,12,2,62,2,2.4203682,0.70970815,0.9932518,4.3871384,1.9065752,4,0
77,1,12,2,62,2,1.7491999,0.71035117,1.10194,2.8273137,2.1294215,5,0
27,-1,13,3,31,1,1.0986123,0.5932864,0.46373403,2.0347056,1.611436,3,1
27,0,13,3,31,1,1.5040774,1.2450787,0.6981347,2.999226,1.8609746,4,0
27,1,13,3,31,1,1.658228,1.2134948,0.4446858,3.1616704,2.1016922,5,0
28,-1,13,3,29,2,1.446919,0.41404623,0.4382549,2.6672282,1.508512,3,0
28,0,13,3,29,2,1.5040774,0.43942118,0.6151857,2.4449522,1.7884206,4,0
28,1,13,3,29,2,2.1690538,0.25190514,0.3987761,3.6591933,2.014903,5,0
84,-1,13,2,53,2,1.178655,0.9755167,0.81536484,2.799109,1.8779372,3,0
84,0,13,2,53,2,1.7917595,0.7456381,0.8501509,3.2043712,1.8779372,4,0
84,1,13,2,53,2,1.658228,0.50689656,0.4317824,2.2353764,2.0122328,5,0
85,-1,13,2,31,2,1.178655,0.65755683,0.6097656,2.9932292,1.6074358,3,0
85,0,13,2,31,2,2.3978953,-0.04954973,0.47000363,3.757939,1.5496879,4,0
85,1,13,2,31,2,2.1690538,0.45547026,0.53062826,3.318178,1.8293763,5,0
1,-1,14,3,30,1,1.2527629,0.4832693,0.30010462,2.207175,1.5390154,3,0
1,0,14,3,30,1,2.1400661,0.20672193,0.41871032,3.450305,1.8261609,4,0
1,1,14,3,30,1,1.704748,0.88428664,0.35065684,2.6823905,2.0135689,5,0
36,-1,14,2,56,1,1.0986123,0.79518294,0.84156716,1.742219,1.7783364,3,1
36,0,14,2,56,1,1.8325815,0.8446992,0.4382549,3.651437,1.6351057,4,0
36,1,14,2,56,1,1.7917595,0.7541707,0.30010462,3.1713648,1.8033587,5,0
37,-1,14,2,29,2,1.0986123,0.04957228,-0.15082288,0.6931472,0.8878913,3,1
37,0,14,2,29,2,1.7917595,0.094047844,-0.21072103,3.346037,1.1878434,4,0
37,1,14,2,29,2,2.3749058,0.12059782,-0.37106368,3.254629,1.3558352,5,0
38,-1,14,2,54,2,1.0986123,0.6959063,0.7975072,1.9810015,1.8578593,3,1
38,0,14,2,54,2,1.7491999,0.61774147,0.9631743,3.3908103,1.6882491,4,0
38,1,14,2,54,2,1.7491999,0.9404352,0.5538851,2.9616582,1.9095426,5,0
8,-1,15,3,23,1,1.0986123,0.85982156,0.285179,1.5040774,1.3029127,3,1
8,0,15,3,23,1,1.9095426,0.4541578,0.20701419,2.739549,1.5581446,4,0
8,1,15,3,23,1,2.1102133,0.5785167,0.31481075,2.9559515,1.7119945,5,0
46,-1,15,2,54,2,1.0986123,0.30251238,0.37156358,1.5644406,1.3962446,3,1
46,0,15,2,54,2,2.1690538,0.46962076,0.53062826,3.5360196,1.6601311,4,0
46,1,15,2,54,2,2.4849067,0.7241894,0.22314355,4.0035076,1.8531681,5,0
47,-1,15,2,49,2,1.0986123,0.5775731,0.65232515,1.5368673,1.4492692,3,1
47,0,15,2,49,2,1.8718022,0.6398094,0.57097954,3.3407395,1.6563214,4,0
47,1,15,2,49,2,2.1400661,0.76138604,0.5128236,4.021774,1.893112,5,0
48,-1,15,2,21,1,1.0986123,-0.1474682,0.47000363,1.1693814,1.3428648,3,1
48,0,15,2,21,1,1.3862944,0.32301193,0.5128236,1.7698547,1.6409365,4,1
48,1,15,2,21,1,1.704748,0.4407841,0.604316,2.2460148,1.9125011,5,0
5,-1,16,3,39,2,1.0986123,0.21613395,0.2776318,1.4678744,1.609438,3,1
5,0,16,3,39,2,1.658228,0.59418947,0.11332869,2.78192,1.9139771,4,0
5,1,16,3,39,2,1.658228,0.8413268,0.20701419,2.5144653,2.1029139,5,0
34,-1,16,2,37,2,1.0986123,0.562129,0.8754688,1.4303112,1.474763,3,1
34,0,16,2,37,2,1.3862944,0.8684622,0.23111172,1.7647308,1.637053,4,1
34,1,16,2,37,2,1.609438,1.0001392,0.31481075,2.0869136,1.7561322,5,1
35,-1,16,2,69,2,1.8325815,0.8063175,0.6151857,3.09874,1.3454723,3,0
35,0,16,2,69,2,1.3862944,0.7976378,0.35065684,1.541159,1.5727739,4,1
35,1,16,2,69,2,1.7917595,0.7679042,0.23111172,2.465554,1.867176,5,0
2,-1,18,3,29,1,1.2527629,0.4658127,0.37843648,1.4793292,1.2059708,3,0
2,0,18,3,29,1,2.7880929,0.2948052,0.07696108,4.0530014,1.258461,4,0
2,1,18,3,29,1,2.5649493,0.23882829,0.26236424,3.1175072,1.5748465,5,0
32,-1,18,2,53,2,1.0986123,0.5490779,0.6151857,1.3635374,1.3164083,3,1
32,0,18,2,53,2,1.3862944,0.5914733,0.4382549,1.867176,1.5892352,4,1
32,1,18,2,53,2,1.7491999,0.63179857,0.48242617,2.5603232,1.7439687,5,0
33,-1,18,2,57,1,1.0986123,0.9573979,1.1969482,1.3609766,1.3056265,3,1
33,0,18,2,57,1,1.5040774,1.0831156,0.64185387,2.512846,1.4724721,4,0
33,1,18,2,57,1,1.8718022,0.87648094,1.1999648,3.4986265,1.6193882,5,0
4,-1,19,3,34,2,1.0986123,0.65830797,0.6097656,1.3787661,1.2296406,3,1
4,0,19,3,34,2,1.5040774,0.87947905,0.5822156,2.7265449,1.4861397,4,0
4,1,19,3,34,2,1.7491999,0.8711593,0.53062826,2.4527278,1.8484548,5,0
40,-1,19,2,58,1,1.446919,0.6715526,0.5128236,2.1994443,1.3056265,3,0
